epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,101.166,0.90876,0.91237,0.93402,0.87666,0.77585,0.85396,0.57964,1.18091,0.78566,0.9781,0.000366225,0.000366225,0.000366225
125,101.943,0.88013,0.86856,0.90228,0.87666,0.77585,0.85396,0.57964,1.18091,0.78566,0.9781,0.000363397,0.000363397,0.000363397
126,102.719,0.86528,0.90502,0.89929,0.87821,0.75272,0.85234,0.57994,1.18471,0.81224,0.98302,0.00036057,0.00036057,0.00036057
127,103.652,0.87142,0.92297,0.87991,0.86438,0.75484,0.85453,0.6059,1.11144,0.81288,0.9623,0.000357743,0.000357743,0.000357743
128,104.404,0.88058,0.87569,0.93159,0.90961,0.71345,0.86237,0.63019,1.06842,0.7987,0.95374,0.000354915,0.000354915,0.000354915
129,105.144,0.80003,1.07291,0.90548,0.90961,0.71345,0.86237,0.63019,1.06842,0.7987,0.95374,0.000352088,0.000352088,0.000352088
130,105.892,0.86522,0.98814,0.90734,0.81804,0.8485,0.92471,0.67832,1.06059,0.79402,0.95395,0.00034926,0.00034926,0.00034926
131,106.702,0.83803,0.9387,0.88954,0.87354,0.82113,0.92406,0.67503,1.06723,0.81174,0.95726,0.000346433,0.000346433,0.000346433
132,107.471,0.84144,0.88844,0.91226,0.7235,0.92081,0.87679,0.61146,1.08885,0.81851,0.96833,0.000343605,0.000343605,0.000343605
133,108.196,0.87839,0.85552,0.895,0.7235,0.92081,0.87679,0.61146,1.08885,0.81851,0.96833,0.000340778,0.000340778,0.000340778
134,108.959,0.82064,0.79439,0.89721,0.86217,0.75217,0.84386,0.57861,1.13252,0.82518,0.98159,0.00033795,0.00033795,0.00033795
135,109.726,0.89776,0.90792,0.91849,0.87031,0.73118,0.84574,0.58672,1.11743,0.82632,0.97596,0.000335123,0.000335123,0.000335123
136,110.496,0.87714,0.90829,0.93624,0.86949,0.75072,0.85112,0.60448,1.06181,0.81034,0.95828,0.000332296,0.000332296,0.000332296
137,111.222,0.88377,0.83671,0.88798,0.86949,0.75072,0.85112,0.60448,1.06181,0.81034,0.95828,0.000329468,0.000329468,0.000329468
138,112.014,0.86436,0.84762,0.88552,0.87382,0.75814,0.85903,0.63445,1.02731,0.78267,0.9512,0.000326641,0.000326641,0.000326641
